isbn,title,author,year,copies
195153448,Classical Mythology,Mark P. O. Morford,2002,3
2005018,Clara Callan,Richard Bruce Wright,2001,3
60973129,Decision in Normandy,Carlo D'Este,1991,3
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,3
393045218,The Mummies of Urumchi,E. J. W. Barber,1999,3
399135782,The Kitchen God's Wife,Amy Tan,1991,3
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,3
671870432,PLEADING GUILTY,Scott Turow,1993,3
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,3
74322678,Where You'll Find Me: And Other Stories,Ann Beattie,2002,3
771074670,Nights Below Station Street,David Adams Richards,1988,3
80652121,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,3
887841740,The Middle Stories,Sheila Heti,2004,3
1552041778,Jane Doe,R. J. Kaiser,1999,3
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,3
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,3
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,3
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,3
440234743,The Testament,John Grisham,1999,3
452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,3
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,3
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,3
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,3
61076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,3
439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,3
689821166,Flood : Mississippi 1927,Kathleen Duey,1998,3
971880107,Wild Animus,Rich Shapero,2004,3
345402871,Airframe,Michael Crichton,1997,3
345417623,Timeline,MICHAEL CRICHTON,2000,3
684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,3
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,3
425163091,Chocolate Jesus,Stephan Jaramillo,1998,3
3404921038,Wie Barney es sieht.,Mordecai Richler,2002,3
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,3
3442410665,Sturmzeit. Roman.,Charlotte Link,1991,3
3442446937,Tage der Unschuld.,Richard North Patterson,2000,3
375406328,Lying Awake,Mark Salzman,2000,3